"id","slug","scheme_name","description","states","level","scheme_for","close_date","tags","created_at"
18,"fapsna","Financial Assistance for Purchase of Stake Net and its Accessories","“Financial Assistance for Purchase of Stake Net and its Accessories” is a scheme by the Dept. of Fisheries, Govt. of Goa. Under this scheme, financial assistance is provided in the form of a subsidy on the purchase of stake nets and accessories for the fishermen.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Subsidy"", ""Financial Assistance""]","2026-03-11 22:53:25.376044+05:30"
19,"sib","Supply of Insulated Boxes","A subsidy to the extent of 75% of the cost for the purchase of an insulated box of at least 50 liters capacity. Only the fisherman engaged in selling and marketing fish, fishing at sea with a canoe, and fishing at sea with a mechanized fishing vessel with upto 6-cylinder engines are eligible.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Marketing"", ""Financial Assistance"", ""Subsidy""]","2026-03-11 22:53:25.376048+05:30"
20,"spwfrpsmb-faascdmf","Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats","The scheme ""Subsidy for the Purchase of Wooden/Fiber Reinforced Plastic/Steel Mechanised Boats"" is introduced by the Government of Puducherry with the objective of increasing marine fish production by extending subsidies for the procurement of wooden/fiber-reinforced plastic/steel mechanized boats.","[""Puducherry""]","State","Individual","None","[""Boat"", ""Subsidy"", ""Fisherman"", ""Fisheries"", ""Financial Assistance""]","2026-03-11 22:53:26.814524+05:30"
21,"gspv","Grant of Subsidy for Procurement of Vehicle","""Grant of Subsidy for Procurement of Vehicle"" aims to facilitate the quick transportation of fish catches from landing centers to marketing places, thereby preventing/minimizing spoilage of fish. It provides a 50% subsidy for the procurement of specified vehicles.","[""Puducherry""]","State","Individual","None","[""Subsidy"", ""Procurement"", ""Vehicle"", ""Fisheries"", ""Fisherman"", ""Financial Asisstance""]","2026-03-11 22:53:26.814539+05:30"
22,"mkuy","Mukhya mantri Krishak Udyami Yojana","The objective of this scheme is to provide financial assistance to the sons and daughters of farmers to establish their businesses. the government of Madhya Pradesh provided loans to the bank for all citizens of the state.","[""Madhya Pradesh""]","State","Individual","None","[""Farming"", ""Farmer"", ""Financial"", ""Loan"", ""Bank""]","2026-03-11 22:53:26.814544+05:30"
23,"phms","Post Harvest Marketing Scheme","The “Post Harvest Marketing Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure. ","[""Meghalaya""]","State","Individual","None","[""Post Harvest"", ""Marketing"", ""Infrastructure"", ""Farmer"", ""SHG Farmers"", ""Co-Operative Societies"", ""FIG"", ""FPO"", ""Horticulture""]","2026-03-11 22:53:26.814548+05:30"
24,"ascfiscmpa","Assistance to Scheduled Caste Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories","Through this scheme, the farmers from the Scheduled Caste Category are provided with a grant of 90% subsidy towards the installation of suitable Submersible / Centrifugal motor pump sets with accessories, subject to a maximum of ₹60,000/‐ per tubewell per individual.","[""Puducherry""]","State","Individual","None","[""Motor"", ""Pump"", ""Subsidy"", ""Farmer"", ""Agriculture"", ""Scheduled Caste""]","2026-03-11 22:53:26.814551+05:30"
25,"arsls","Agriculture Research Stations and Laboratories Scheme","The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Research Station"", ""Laboratory"", ""Farmer"", ""Bio Pesticide"", ""Bio Agent""]","2026-03-11 22:53:26.814555+05:30"
26,"mhh","Maintenance of Horti Hubs","The objective of the scheme is to procure good quality disease-free and commercially accepted varieties of the identified flowers and multiply and, to serve as a demonstration cum training ground for those who are interested in Floriculture and who intend to make this as their means of livelihood.","[""Meghalaya""]","State","Individual","None","[""Farmer"", ""Agriculture"", ""Floriculture"", ""Flower""]","2026-03-11 22:53:26.814558+05:30"
27,"oms","Organic Manure Scheme","The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.","[""Meghalaya""]","State","Individual","None","[""Organic Manure"", ""Farmer"", ""Agriculture"", ""Training""]","2026-03-11 22:53:26.814562+05:30"
28,"sams","Supply of Agriculture Machineries Scheme","The objective of the scheme is to distribute and sale of agricultural machinery such as Power Tillers, etc. to farmers at subsidized rates.","[""Meghalaya""]","State","Individual","None","[""Farmer"", ""Agriculture Machineries"", ""Subsidy""]","2026-03-11 22:53:26.814565+05:30"
29,"ky","Krishi Yantra","In the Krishi Yantra scheme, the farmer purchases farming-related equipment from an authorized dealer, then the state government gives a subsidy to the farmers.","[""Rajasthan""]","State","Individual","None","[""Farming"", ""Farmer"", ""Equipment"", ""Development""]","2026-03-11 22:53:28.347539+05:30"
30,"marvs","Meghalaya Agriculture Response Vehicle Scheme","The scheme “Meghalaya Agriculture Response Vehicle Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to provide Small Commercial Vehicles and pickups at each CD Block across Meghalaya with 50% financial aid from the Government of Meghalaya.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Response Vehicle"", ""Farmer"", ""Financial Aid"", ""Farmers Associations"", ""Entrepreneur""]","2026-03-11 22:53:28.347551+05:30"
31,"wit","Walk In Tunnel","Under the Walk-In Tunnel, the Rajasthan government provides the benefit of a subsidy to the farmers with affordable and efficient structures that offer protection from adverse weather conditions, pests, and diseases.","[""Rajasthan""]","State","Individual","None","[""Walk In Tunnel"", ""Crops"", ""Agriculture""]","2026-03-11 22:53:28.347554+05:30"
32,"abn","Anti Bird Net","Under the Anti Bird Net Birds will never leave your garden if they are used to pecking on certain trees and plants, but if you install anti-bird nets at the appropriate places, you can prevent them from coming again to peck your plants.","[""Rajasthan""]","State","Individual","None","[""Farmer"", ""Anti Bird Net"", ""Farming"", ""Agriculture""]","2026-03-11 22:53:28.347556+05:30"
33,"csssscspscc","Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category) ","The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals.","[""Gujarat""]","State","Individual","None","[""Cattle Shed"", ""Subsidy"", ""Scheduled Caste"", ""Animal Husbandry"", ""Farmer"", ""Financial Assistance""]","2026-03-11 22:53:28.347558+05:30"
34,"apdccsifdsgc","Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category)","The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.","[""Gujarat""]","State","Individual","None","[""Chaff Cutter"", ""Animal Husbandry"", ""Dairy Farmer"", ""Financial Assistance""]","2026-03-11 22:53:28.34756+05:30"
35,"beds","Buffalo Entrepreneurship Development Scheme","The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming. ","[""Odisha""]","State","Individual","None","[""Farmers"", ""Milk Production"", ""Subsidy"", ""Opportunity""]","2026-03-11 22:53:28.347562+05:30"
36,"aapd","Agricultural Activities for Persons with Disabilities","This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc.","[""Haryana""]","State","Individual","None","[""Agricultural Activities"", ""PwD"", ""Loan"", ""Disabled Person""]","2026-03-11 22:53:28.347564+05:30"
37,"ntkjky","Niji Talabon Ka Jirnoddhar Ki Yojana","The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds.","[""Bihar""]","State","Individual","None","[""Fish Farmer"", ""Productivity"", ""Pond""]","2026-03-11 22:53:28.347567+05:30"
38,"docsos","Distribution of Certified Seeds-Oil Seeds","The ""Distribution of Certified Seeds-Oil Seeds"" scheme offers subsidies to farmers for purchasing certified oil seeds, helping them improve their crop yield and quality.

","[""Tamil Nadu""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Seed Distribution"", ""Oil Seeds"", ""Subsidy""]","2026-03-11 22:53:28.347569+05:30"
39,"dor","Distribution of Rhizobium","The “Distribution of Rhizobium” scheme offers a subsidy on the cost of Rhizobium, to farmers raising seed farms with Pulses crops in Tamil Nadu.

","[""Tamil Nadu""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Rhizobium"", ""Subsidy""]","2026-03-11 22:53:29.832799+05:30"
40,"ahtn","Animal Husbandry","This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.
","[""Tamil Nadu""]","State","Individual","None","[""Tribal Welfare"", ""Animal Husbandry"", ""Animals Health Cover"", ""Artificial Insemination"", ""Distribution Of Sheep Units""]","2026-03-11 22:53:29.832814+05:30"
41,"aspie","Afforestation Schemes Providing Incentives And Employment To Tribals In Forest","This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations.","[""Tamil Nadu""]","State","Individual","None","[""Tribal Welfare"", ""Afforestation"", ""Incentives"", ""Employment""]","2026-03-11 22:53:29.832819+05:30"
42,"obdopmtig","Organizing Block Demonstration on Polythene Mulch Technology in Groundnut","The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.
","[""Tamil Nadu""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Block Demonstration"", ""Polythene Mulch Technology"", ""Groundnut""]","2026-03-11 22:53:29.832823+05:30"
43,"pocs","Production Of Certified Seeds","The ""Production of Certified Seeds"" scheme, offers a subsidy to farmers for producing certified seeds of Pulses.
","[""Tamil Nadu""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Certified Seeds"", ""Production Of Seeds""]","2026-03-11 22:53:29.832827+05:30"
44,"pcardsia","Primary Cooperative Agriculture and Rural Development Bank: For Sericulture In Irrigated Area","The scheme provides loans to farmers for sericulture activities in irrigated areas, with a loan amount ranging from ₹49,000/- to ₹79,000/- per acre, and interest rates from 11% to 12.75%.","[""Tamil Nadu""]","State","Individual","None","[""Sericulture"", ""Loan"", ""Farmer"", ""Agriculture And Rural Development Bank"", ""Irrigated Area""]","2026-03-11 22:53:29.83283+05:30"
45,"v-vhcs","Ved-Vyas Housing Construction Scheme","The ""Ved Vyas Housing Construction Scheme"" provides financial assistance to active and traditional fish farmers in Simdega district for building houses. The scheme prioritizes individuals particularly those living in kutcha or thatched houses. ","[""Jharkhand""]","State","Individual","None","[""Housing"", ""Fish Farmer"", ""Disabled"", ""BPL""]","2026-03-11 22:53:29.832834+05:30"
46,"mbydfvy","Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana","The scheme aims to expand dragon fruit cultivation in 21 districts of the state, providing financial assistance to ryot farmers for establishing and maintaining dragon fruit plantations.
","[""Bihar""]","State","Individual","None","[""Agriculture"", ""Subsidy"", ""Plant Supply"", ""Financial Assistance"", ""Dragon Fruit Development""]","2026-03-11 22:53:29.832837+05:30"
47,"kiay","Krishi Input Anudan Yojana","The scheme aims to provide agricultural input subsidies in affected areas due to the rise in water levels of rivers like Ganga and Kosi and flood-related crop damage from heavy rainfall.

","[""Bihar""]","State","Individual","None","[""Agriculture"", ""Subsidy"", ""Crops Damage"", ""Financial Assistance"", ""Crop Insurance""]","2026-03-11 22:53:29.83284+05:30"
48,"mvyb","Makhana Vikas Yojana","The scheme aims to boost Makhana cultivation by providing training to farmers and financial support for traditional equipment.","[""Bihar""]","State","Individual","None","[""Agriculture"", ""Subsidy"", ""Seed Supply"", ""Financial Assistance"", ""Makhana Development""]","2026-03-11 22:53:29.832844+05:30"
49,"gtiar","Gausevak Training (Initial and Refresher)","The scheme ""Gausevak Training (Initial and Refresher)"" aims to empower educated unemployed rural youth with self-employment opportunities and the skills to provide primary veterinary services in remote rural areas. A 100% stipend of ₹6,000 for initial training and ₹500 for refresher training.","[""Madhya Pradesh""]","State","Individual","None","[""Educated"", ""Unemployed"", ""Youth"", ""Training""]","2026-03-11 22:53:31.30887+05:30"
50,"tws","Tap Water Scheme (Nal Jal Yojana)","""Tap Water Scheme"" (नल जल योजना) by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide clean water in Gram Panchayat areas in an accessible manner. The application has to be made to the concerned Gram Panchayat.","[""Madhya Pradesh""]","State","Individual","None","[""Water"", ""Agriculture"", ""Panchayat"", ""Development"", ""Rural""]","2026-03-11 22:53:31.308884+05:30"
51,"kpyg","Kisan Parivahan Yojana","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing medium-sized goods vehicles to facilitate the transportation of agricultural produce.","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Heavy Farm Equipment"", ""Goods Vehicles""]","2026-03-11 22:53:31.308889+05:30"
52,"spfasae","Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Sanedo Equipment""]","2026-03-11 22:53:31.308894+05:30"
53,"sapsf","Scheme for Assistance on Purchase of Smartphone by the Farmers","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance.","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Smartphone""]","2026-03-11 22:53:31.308898+05:30"
54,"bvby","Bhavantar Bharpai Yojana","The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.","[""Haryana""]","State","Individual","None","[""Horticulture"", ""Farmer"", ""Agriculture"", ""Vegetable Grower"", ""Fruits"", ""Vegetables"", ""Incentive""]","2026-03-11 22:53:31.308902+05:30"
55,"dvrsf","Diesel VAT Relief Scheme for Fishermen","The ""Diesel VAT Relief Scheme for Fishermen"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance by subsidizing the VAT levied on high-speed diesel used in fishing boats. ","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Fishing Activities"", ""Fishermen""]","2026-03-11 22:53:31.308906+05:30"
56,"eotmaf","Establishment of 1 to 20 Milch Animal Farm","The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business.","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Rural Employment"", ""Animal Farm""]","2026-03-11 22:53:31.308911+05:30"
57,"ics","Intensive Castration Scheme","The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Cow"", ""Low Genetic Animal""]","2026-03-11 22:53:31.308915+05:30"
58,"acfapsc","Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)","The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Caste Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Cattle Development"", ""Milk Production"", ""Concentrate Feeds""]","2026-03-11 22:53:31.308919+05:30"
59,"sfugp","Scheme for Upgradation of Gaushala/ Panjrapole","The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Animal Husbandry"", ""Cattle Development""]","2026-03-11 22:53:32.533613+05:30"
60,"acfpagc","Assistance of Concentrate Feed for Pregnant Animals (General Category)","This scheme provides free BIS type II concentrate feed to pregnant cattle owned by General Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Pregnant Cattle"", ""Milk Production""]","2026-03-11 22:53:32.533627+05:30"
61,"sffppc","PMMSY: Fish Feed Plants of Production Capacity of at least 100 Ton/Day - Haryana","This scheme provides capital subsidy for setting up fish feed plants with a minimum production capacity of 100 tons per day, under the Pradhan Mantri Matsya Sampada Yojana (PMMSY) to general , schedule caste and women beneficiaries .","[""Haryana""]","State","Individual","None","[""Fish"", ""Affordable Feed"", ""Capital Subsidy"", ""FFPO""]","2026-03-11 22:53:32.533631+05:30"
62,"enffhr","PMMSY: Establishment of New Freshwater Fin Fish Hatcheries-Haryana","The scheme aims to support the establishment of new freshwater finfish hatcheries. Through this scheme, financial assistance in the form of subsidies is provided to beneficiaries for setting up these hatcheries.","[""Haryana""]","State","Individual","None","[""Financial Assistance"", ""Subsidy"", ""Setting Up"", ""Hatcheries""]","2026-03-11 22:53:32.533635+05:30"
63,"lfvcs","PMMSY: Live Fish Vending Centres Scheme - Haryana","The scheme aims to support fishers by providing financial assistance for live fish vending centers. A subsidy per unit is provided under PMMSY.","[""Haryana""]","State","Individual","None","[""Financial Assistance"", ""Fish Farmer"", ""Transportation"", ""Subsidy"", ""Marketing""]","2026-03-11 22:53:32.533639+05:30"
64,"faotaaonw","Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on Annual Auction of Notified Waters","The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their socio-economic status by promoting fish farming through subsidization of fishing contract costs in designated water bodies. ","[""Haryana""]","State","Individual","None","[""Financial Assistance"", ""Subsidy"", ""Auction"", ""Waters"", ""Fish Culture""]","2026-03-11 22:53:32.533643+05:30"
65,"pashupalangbcdc","Pashupalan (GBCDC)","The scheme aims to provide an amount for animal husbandry activities. Low-interest loans are provided to Pashu Palaks.","[""Gujarat""]","State","Individual","None","[""Cow"", ""Buffalo"", ""Agriculture Activities"", ""Loan""]","2026-03-11 22:53:32.533646+05:30"
66,"msofru","Pradhan Mantri Matsya Sampada Yojana: Medium Scale Ornamental Fish Rearing Unit (Fresh Water) - Haryana","Under this scheme, financial assistance in the form of a subsidy is provided to eligible beneficiaries for setting up infrastructure such as sheds, breeding units, and rearing and culture tanks for ornamental fish. ","[""Haryana""]","State","Individual","None","[""Fish Production"", ""Fish"", ""Fish Farmer"", ""Subsidy"", ""Ornamental Aquaculture"", ""Fish Rearing Unit"", ""Fresh Water""]","2026-03-11 22:53:32.533649+05:30"
67,"pmmsycngpguj","Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Construction of New Grow-out Pond - Gujarat","The scheme aims to enhance fish production and provide employment through inland fisheries. It offers financial support to construct new grow-out ponds for eligible beneficiaries.","[""Gujarat""]","State","Individual","None","[""Fish Farming"", ""Construction"", ""Ponds"", ""Freshwater Hatcheries""]","2026-03-11 22:53:32.533652+05:30"
68,"sfidfh","Scheme for Integrated Development for Horticulture (HRT-2)","The scheme ""Scheme for Integrated Development for Horticulture (HRT-2)"" aims to promote holistic horticultural growth through financial assistance for production, processing, marketing, and infrastructure support to farmers across Gujarat.","[""Gujarat""]","State","Individual","None","[""Horticulture"", ""Farm Mechanization"", ""Greenhouse Subsidy"", ""Crop Protection"", ""Post Harvest Management""]","2026-03-11 22:53:34.122851+05:30"
69,"nmoen","National Mission on Edible Oil- Oil Palm: Nursery","The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers.

","[""Gujarat""]","State","Individual","None","[""Edible Oil"", ""Nursery"", ""Farmer"", ""Subsidy""]","2026-03-11 22:53:34.122862+05:30"
